time,meanMsgsAtGateway,meanAtService
0,0,0
0.1,0,0
0.2,1,0
0.3,2,0
0.4,2,0
0.5,3,0
0.6,3,0
0.7,4,0
0.8,4,0
0.9,4,0
1.0,4,0
1.1,4,0
1.2,5,0
1.3,5,0
1.4,5,0
1.5,5,0
1.6,5,0
1.7,5,0
1.8,5,0
1.9,6,0
2.0,6,0
2.1,6,0
2.2,6,0
2.3,6,0
2.4,6,0
2.5,6,0
2.6,6,0
2.7,6,0
2.8,6,0
2.9,6,0
3.0,6,0
3.1,6,0
3.2,6,0
3.3,7,0
3.4,7,0
3.5,7,0
3.6,7,0
3.7,7,0
3.8,7,0
3.9,7,0
4.0,7,0
4.1,7,0
4.2,7,0
4.3,7,0
4.4,7,0
4.5,7,0
4.6,7,0
4.7,7,0
4.8,7,0
4.9,7,0
5.0,7,0
5.1,7,0
5.2,7,0
5.3,7,0
5.4,7,0
5.5,8,0
5.6,8,0
5.7,8,0
5.8,8,0
5.9,8,0
6.0,8,0
6.1,8,0
6.2,8,0
6.3,8,0
6.4,8,0
6.5,8,0
6.6,8,0
6.7,8,0
6.8,9,0
6.9,9,0
7.0,9,0
7.1,9,0
7.2,9,0
7.3,9,0
7.4,9,0
7.5,9,0
7.6,9,0
7.7,9,0
7.8,9,0
7.9,10,0
8.0,11,0
8.1,11,0
8.2,12,0
8.3,12,0
8.4,12,0
8.5,12,0
8.6,12,0
8.7,14,0
8.8,14,0
8.9,14,0
9.0,14,0
9.1,14,0
9.2,15,0
9.3,15,0
9.4,15,0
9.5,15,0
9.6,15,0
9.7,15,0
9.8,15,0
9.9,15,0
10.0,15,0
10.1,15,0
10.2,15,0
10.3,15,0
10.4,15,0
10.5,15,0
10.6,15,0
10.7,15,0
10.8,15,0
10.9,15,0
11.0,15,0
11.1,16,0
11.2,16,0
11.3,16,0
11.4,16,0
11.5,16,0
11.6,16,0
11.7,16,0
11.8,17,0
11.9,17,0
12.0,17,0
12.1,17,0
12.2,17,0
12.3,18,0
12.4,18,0
12.5,18,0
12.6,18,0
12.7,18,0
12.8,18,0
12.9,0,22
13.0,0,22
13.1,0,21
13.2,0,21
13.3,0,21
13.4,1,21
13.5,1,21
13.6,1,21
13.7,1,21
13.8,1,21
13.9,1,21
14.0,1,21
14.1,1,21
14.2,1,20
14.3,1,20
14.4,1,20
14.5,1,20
14.6,1,20
14.7,1,20
14.8,1,20
14.9,1,20
15.0,1,19
15.1,1,19
15.2,1,19
15.3,1,19
15.4,1,19
15.5,1,19
15.6,1,18
15.7,1,18
15.8,1,18
15.9,1,18
16.0,1,18
16.1,1,18
16.2,1,18
16.3,1,18
16.4,1,15
16.5,1,15
16.6,1,15
16.7,1,15
16.8,1,15
16.9,1,15
17.0,1,14
17.1,1,14
17.2,1,14
17.3,1,14
17.4,1,14
17.5,1,14
17.6,1,14
17.7,1,14
17.8,1,14
17.9,1,14
18.0,1,14
18.1,1,14
18.2,1,14
18.3,1,14
18.4,1,14
18.5,1,14
18.6,1,14
18.7,2,14
18.8,2,14
18.9,2,14
19.0,2,14
19.1,2,14
19.2,2,14
19.3,2,14
19.4,2,13
19.5,2,13
19.6,2,13
19.7,3,13
19.8,3,13
19.9,3,13
20.0,3,13
20.1,3,13
20.2,3,13
20.3,3,13
20.4,3,13
20.5,3,12
20.6,3,12
20.7,3,12
20.8,3,11
20.9,3,11
21.0,3,11
21.1,3,10
21.2,3,10
21.3,3,10
21.4,3,10
21.5,3,10
21.6,3,10
21.7,3,10
21.8,3,10
21.9,3,10
22.0,3,10
22.1,3,10
22.2,4,9
22.3,4,9
22.4,4,9
22.5,4,9
22.6,4,9
22.7,4,9
22.8,4,9
22.9,4,9
23.0,4,8
23.1,4,8
23.2,4,8
23.3,4,8
23.4,4,8
23.5,4,8
23.6,4,8
23.7,4,8
23.8,4,8
23.9,4,8
24.0,4,7
24.1,4,7
24.2,4,7
24.3,4,7
24.4,4,7
24.5,4,7
24.6,5,7
24.7,5,7
24.8,5,7
24.9,5,7
25.0,5,6
25.1,5,6
25.2,5,6
25.3,5,6
25.4,5,6
25.5,5,6
25.6,6,6
25.7,6,6
25.8,6,5
25.9,6,4
26.0,6,4
26.1,6,4
26.2,6,4
26.3,7,4
26.4,7,4
26.5,7,4
26.6,7,4
26.7,7,4
26.8,7,4
26.9,7,4
27.0,7,4
27.1,7,4
27.2,7,4
27.3,7,4
27.4,7,3
27.5,7,3
27.6,7,1
27.7,7,1
27.8,7,0
27.9,8,0
28.0,8,0
28.1,8,0
28.2,8,0
28.3,8,0
28.4,8,0
28.5,8,0
28.6,8,0
28.7,8,0
28.8,8,0
28.9,8,0
29.0,8,0
29.1,8,0
29.2,8,0
29.3,8,0
29.4,8,0
29.5,8,0
29.6,8,0
29.7,8,0
29.8,8,0
29.9,8,0
30.0,9,0
30.1,10,0
30.2,10,0
30.3,10,0
30.4,10,0
30.5,10,0
30.6,10,0
30.7,10,0
30.8,10,0
30.9,10,0
31.0,10,0
31.1,10,0
31.2,10,0
31.3,10,0
31.4,10,0
31.5,10,0
31.6,10,0
31.7,11,0
31.8,11,0
31.9,11,0
32.0,11,0
32.1,11,0
32.2,11,0
32.3,11,0
32.4,11,0
32.5,11,0
32.6,11,0
32.7,11,0
32.8,11,0
32.9,11,0
33.0,12,0
33.1,12,0
33.2,12,0
33.3,12,0
33.4,12,0
33.5,12,0
33.6,12,0
33.7,12,0
33.8,12,0
33.9,12,0
34.0,12,0
34.1,12,0
34.2,12,0
34.3,12,0
34.4,12,0
34.5,13,0
34.6,13,0
34.7,13,0
34.8,13,0
34.9,14,0
