time,cumulativeEmpty,cumulativeBatchingIdleReward,batchingIdleTime,batchingIdleFraction
0,0,0,0,0
0.1,0.1,0.0,0.0,0
0.2,0.2,0.0,0.0,0
0.3,0.3,0.0,0.0,0
0.4,0.4,0.0,0.0,0
0.5,0.45,0.1,0.05,0.1
0.6,0.45,0.3,0.15,0.25
0.7,0.45,0.5,0.25,0.3571428571428571428571428571428571
0.8,0.45,0.7,0.35,0.4375
0.9,0.45,0.9,0.45,0.5
1.0,0.45,1.1,0.55,0.55
1.1,0.45,1.3,0.65,0.5909090909090909090909090909090909
1.2,0.45,1.5,0.75,0.625
1.3,0.45,1.7,0.85,0.6538461538461538461538461538461538
1.4,0.45,1.9,0.95,0.6785714285714285714285714285714286
1.5,0.45,2.1,1.05,0.7
1.6,0.45,2.3,1.15,0.71875
1.7,0.45,2.5,1.25,0.7352941176470588235294117647058824
1.8,0.45,2.7,1.35,0.75
1.9,0.45,2.9,1.45,0.7631578947368421052631578947368421
2.0,0.45,3.1,1.55,0.775
2.1,0.45,3.3,1.65,0.7857142857142857142857142857142857
2.2,0.45,3.5,1.75,0.7954545454545454545454545454545455
2.3,0.45,3.7,1.85,0.8043478260869565217391304347826087
2.4,0.45,3.9,1.95,0.8125
2.5,0.45,4.1,2.05,0.82
2.6,0.45,4.3,2.15,0.8269230769230769230769230769230769
2.7,0.45,4.5,2.25,0.8333333333333333333333333333333333
2.8,0.45,4.7,2.35,0.8392857142857142857142857142857143
2.9,0.45,4.9,2.45,0.8448275862068965517241379310344828
3.0,0.45,5.1,2.55,0.85
3.1,0.45,5.3,2.65,0.8548387096774193548387096774193548
3.2,0.45,5.5,2.75,0.859375
3.3,0.45,5.7,2.85,0.8636363636363636363636363636363636
3.4,0.45,5.9,2.95,0.8676470588235294117647058823529412
3.5,0.45,6.1,3.05,0.8714285714285714285714285714285714
3.6,0.45,6.3,3.15,0.875
3.7,0.45,6.5,3.25,0.8783783783783783783783783783783784
3.8,0.45,6.7,3.35,0.8815789473684210526315789473684211
3.9,0.45,6.9,3.45,0.8846153846153846153846153846153846
4.0,0.45,7.1,3.55,0.8875
4.1,0.45,7.3,3.65,0.8902439024390243902439024390243902
4.2,0.45,7.5,3.75,0.8928571428571428571428571428571429
4.3,0.45,7.7,3.85,0.8953488372093023255813953488372093
4.4,0.45,7.9,3.95,0.8977272727272727272727272727272727
4.5,0.45,8.1,4.05,0.9
