time,meanMsgsAtGateway,meanAtService
0,0,0
0.1,1,0
0.2,1,0
0.3,1,0
0.4,1,0
0.5,1,0
0.6,1,0
0.7,1,0
0.8,1,0
0.9,1,0
1.0,1,0
1.1,1,0
1.2,2,0
1.3,2,0
1.4,2,0
1.5,2,0
1.6,2,0
1.7,2,0
1.8,2,0
1.9,2,0
2.0,3,0
2.1,4,0
2.2,4,0
2.3,4,0
2.4,5,0
2.5,5,0
2.6,5,0
2.7,5,0
2.8,5,0
2.9,5,0
3.0,5,0
3.1,5,0
3.2,5,0
3.3,5,0
3.4,5,0
3.5,5,0
3.6,5,0
3.7,5,0
3.8,5,0
3.9,5,0
4.0,5,0
4.1,5,0
4.2,5,0
4.3,5,0
4.4,5,0
4.5,5,0
4.6,5,0
4.7,5,0
4.8,5,0
4.9,5,0
5.0,5,0
5.1,5,0
5.2,5,0
5.3,5,0
5.4,5,0
5.5,5,0
5.6,5,0
5.7,5,0
5.8,5,0
5.9,6,0
6.0,7,0
6.1,7,0
6.2,7,0
6.3,7,0
6.4,7,0
6.5,7,0
6.6,7,0
6.7,8,0
6.8,8,0
6.9,8,0
7.0,8,0
7.1,8,0
7.2,8,0
7.3,8,0
7.4,9,0
7.5,9,0
7.6,9,0
7.7,9,0
7.8,10,0
7.9,10,0
8.0,10,0
8.1,10,0
8.2,10,0
8.3,10,0
8.4,10,0
8.5,10,0
8.6,10,0
8.7,10,0
8.8,10,0
8.9,11,0
9.0,11,0
9.1,11,0
9.2,11,0
9.3,11,0
9.4,11,0
9.5,11,0
9.6,11,0
9.7,11,0
9.8,11,0
9.9,11,0
10.0,11,0
10.1,12,0
10.2,13,0
10.3,13,0
10.4,13,0
10.5,13,0
10.6,13,0
10.7,13,0
10.8,13,0
10.9,13,0
11.0,13,0
11.1,14,0
11.2,14,0
11.3,14,0
11.4,14,0
11.5,14,0
11.6,14,0
11.7,14,0
11.8,14,0
11.9,14,0
12.0,14,0
12.1,14,0
12.2,14,0
12.3,14,0
12.4,14,0
12.5,14,0
12.6,14,0
12.7,14,0
12.8,14,0
12.9,14,0
13.0,15,0
13.1,15,0
13.2,15,0
13.3,15,0
13.4,15,0
13.5,15,0
13.6,15,0
13.7,15,0
13.8,15,0
13.9,15,0
14.0,16,0
14.1,16,0
14.2,16,0
14.3,17,0
14.4,17,0
14.5,17,0
14.6,17,0
14.7,17,0
14.8,17,0
14.9,17,0
15.0,18,0
15.1,18,0
15.2,18,0
15.3,18,0
15.4,18,0
15.5,19,0
15.6,19,0
15.7,19,0
15.8,20,0
15.9,20,0
16.0,20,0
16.1,20,0
16.2,20,0
16.3,20,0
16.4,20,0
