time,meanMsgsAtGateway,meanAtService
0,0,0
0.1,0,0
0.2,0,0
0.3,0,0
0.4,0,0
0.5,0,0
0.6,2,0
0.7,2,0
0.8,2,0
0.9,3,0
1.0,3,0
1.1,3,0
1.2,3,0
1.3,3,0
1.4,3,0
1.5,3,0
1.6,3,0
1.7,3,0
1.8,3,0
1.9,3,0
2.0,3,0
2.1,3,0
2.2,4,0
2.3,5,0
2.4,5,0
2.5,5,0
2.6,5,0
2.7,6,0
2.8,6,0
2.9,6,0
3.0,6,0
3.1,6,0
3.2,6,0
3.3,7,0
3.4,7,0
3.5,7,0
3.6,7,0
3.7,7,0
3.8,7,0
3.9,7,0
4.0,7,0
4.1,7,0
4.2,7,0
4.3,7,0
4.4,7,0
4.5,7,0
4.6,7,0
4.7,7,0
4.8,7,0
4.9,7,0
5.0,8,0
5.1,8,0
5.2,8,0
5.3,8,0
5.4,8,0
5.5,8,0
5.6,8,0
5.7,8,0
5.8,10,0
5.9,10,0
6.0,10,0
6.1,10,0
6.2,10,0
6.3,10,0
6.4,10,0
6.5,10,0
6.6,10,0
6.7,10,0
6.8,10,0
6.9,10,0
7.0,10,0
7.1,10,0
7.2,10,0
7.3,10,0
7.4,10,0
7.5,10,0
7.6,10,0
7.7,10,0
7.8,10,0
7.9,10,0
8.0,10,0
8.1,10,0
8.2,10,0
8.3,10,0
8.4,10,0
8.5,10,0
8.6,10,0
8.7,10,0
8.8,10,0
8.9,10,0
9.0,10,0
9.1,10,0
9.2,10,0
9.3,10,0
9.4,10,0
9.5,10,0
9.6,10,0
9.7,10,0
9.8,10,0
9.9,10,0
10.0,10,0
10.1,10,0
10.2,10,0
10.3,10,0
10.4,10,0
10.5,10,0
10.6,11,0
10.7,11,0
10.8,11,0
10.9,11,0
11.0,11,0
11.1,11,0
11.2,11,0
11.3,11,0
11.4,11,0
11.5,11,0
11.6,11,0
11.7,11,0
11.8,11,0
11.9,11,0
12.0,11,0
12.1,11,0
12.2,11,0
12.3,11,0
12.4,11,0
12.5,12,0
12.6,13,0
12.7,13,0
12.8,13,0
12.9,13,0
13.0,13,0
13.1,0,15
13.2,1,15
13.3,1,15
13.4,1,15
13.5,1,15
13.6,1,15
13.7,1,15
13.8,1,15
13.9,1,15
14.0,1,15
14.1,1,15
14.2,1,15
14.3,2,15
14.4,2,15
14.5,2,15
14.6,2,15
14.7,2,15
14.8,2,15
14.9,2,15
15.0,2,15
15.1,3,15
15.2,3,15
15.3,3,14
15.4,3,14
15.5,3,14
15.6,3,14
15.7,3,14
15.8,3,14
15.9,4,14
16.0,4,14
16.1,4,14
16.2,4,14
16.3,4,14
16.4,4,14
16.5,4,14
16.6,4,14
16.7,4,14
16.8,4,14
16.9,5,14
17.0,5,13
17.1,5,13
17.2,5,13
17.3,5,13
17.4,5,13
17.5,5,13
17.6,5,13
17.7,5,13
17.8,5,13
17.9,5,13
18.0,5,13
18.1,5,12
18.2,5,12
18.3,5,12
18.4,5,12
18.5,5,12
18.6,5,12
18.7,6,11
18.8,6,11
18.9,6,11
19.0,6,11
19.1,6,8
19.2,7,8
19.3,7,8
19.4,7,8
19.5,8,8
19.6,8,7
19.7,9,7
19.8,9,7
19.9,9,7
20.0,9,7
20.1,9,7
20.2,9,7
20.3,9,7
20.4,10,6
20.5,10,6
20.6,10,6
20.7,10,6
20.8,10,6
20.9,10,6
21.0,10,6
21.1,10,6
21.2,10,6
21.3,10,6
21.4,10,6
21.5,10,5
21.6,10,5
21.7,10,5
21.8,10,5
21.9,10,5
22.0,10,5
22.1,10,5
22.2,10,5
22.3,10,4
22.4,10,3
22.5,10,3
22.6,10,3
22.7,10,3
22.8,10,3
22.9,10,3
23.0,11,3
23.1,11,3
23.2,11,3
23.3,11,3
23.4,11,3
23.5,11,3
23.6,12,3
23.7,12,3
23.8,12,3
23.9,12,3
24.0,12,3
24.1,12,3
24.2,12,3
24.3,12,2
24.4,12,2
24.5,12,2
24.6,12,2
24.7,12,1
24.8,12,1
24.9,12,1
25.0,13,1
25.1,13,1
25.2,13,1
25.3,13,1
25.4,13,1
25.5,13,1
25.6,13,1
25.7,0,17
25.8,0,16
25.9,0,16
26.0,0,16
26.1,0,16
26.2,0,16
26.3,1,16
26.4,1,16
26.5,1,16
26.6,1,16
26.7,1,16
26.8,1,16
26.9,1,16
27.0,1,16
27.1,1,16
27.2,2,16
27.3,2,16
27.4,3,16
27.5,3,16
27.6,3,16
27.7,3,16
27.8,3,16
27.9,3,16
28.0,3,16
28.1,3,15
28.2,3,15
28.3,4,15
28.4,4,15
28.5,4,15
28.6,4,15
28.7,4,15
28.8,4,15
28.9,4,15
29.0,4,15
29.1,4,15
29.2,5,15
29.3,5,15
29.4,5,15
29.5,7,15
29.6,7,15
29.7,7,15
29.8,7,15
29.9,7,15
30.0,7,14
30.1,7,14
30.2,8,14
30.3,9,13
30.4,9,13
30.5,9,13
30.6,9,13
30.7,9,13
30.8,9,13
30.9,9,13
31.0,9,13
31.1,9,13
31.2,9,13
31.3,9,13
31.4,9,13
31.5,9,12
31.6,9,12
31.7,9,11
31.8,10,11
31.9,10,11
32.0,10,11
32.1,10,11
32.2,11,11
32.3,11,11
32.4,11,11
32.5,11,10
32.6,11,10
32.7,12,10
32.8,12,10
32.9,13,10
33.0,13,10
33.1,13,10
33.2,13,10
33.3,13,10
33.4,13,10
33.5,13,9
33.6,13,9
33.7,14,8
33.8,14,8
33.9,14,8
34.0,14,7
34.1,14,7
34.2,14,7
34.3,14,7
34.4,14,7
34.5,14,7
34.6,14,7
34.7,14,6
34.8,14,6
34.9,14,6
