time,meanMsgsAtGateway,meanAtService
0,0,0
0.1,0,0
0.2,0,0
0.3,0,0
0.4,0,0
0.5,0,0
0.6,0,0
0.7,0,0
0.8,0,0
0.9,0,0
1.0,0,0
1.1,0,0
1.2,0,0
1.3,0,0
1.4,0,0
1.5,0,0
1.6,0,0
1.7,0,0
1.8,0,0
1.9,0,0
2.0,0,0
2.1,0,0
2.2,0,0
2.3,0,0
2.4,0,0
2.5,0,0
2.6,1,0
2.7,1,0
2.8,1,0
2.9,1,0
3.0,1,0
3.1,1,0
3.2,1,0
3.3,1,0
3.4,1,0
3.5,1,0
3.6,1,0
3.7,1,0
3.8,1,0
3.9,1,0
4.0,1,0
4.1,1,0
4.2,1,0
4.3,1,0
4.4,1,0
4.5,1,0
4.6,1,0
4.7,1,0
4.8,1,0
4.9,1,0
5.0,1,0
5.1,1,0
5.2,1,0
5.3,1,0
5.4,1,0
5.5,1,0
5.6,1,0
5.7,1,0
5.8,1,0
5.9,1,0
6.0,1,0
6.1,1,0
6.2,1,0
6.3,1,0
6.4,1,0
6.5,2,0
6.6,2,0
6.7,2,0
6.8,2,0
6.9,2,0
7.0,2,0
7.1,2,0
7.2,2,0
7.3,2,0
7.4,2,0
7.5,2,0
7.6,2,0
7.7,2,0
7.8,2,0
7.9,2,0
8.0,2,0
8.1,3,0
8.2,3,0
8.3,3,0
8.4,3,0
8.5,3,0
8.6,3,0
8.7,3,0
8.8,3,0
8.9,3,0
9.0,4,0
9.1,5,0
9.2,5,0
9.3,5,0
9.4,5,0
9.5,6,0
9.6,6,0
9.7,6,0
9.8,6,0
9.9,6,0
10.0,6,0
10.1,7,0
10.2,7,0
10.3,7,0
10.4,7,0
10.5,7,0
10.6,8,0
10.7,8,0
10.8,8,0
10.9,9,0
11.0,9,0
11.1,9,0
11.2,9,0
11.3,10,0
11.4,10,0
11.5,10,0
11.6,10,0
11.7,10,0
11.8,10,0
11.9,10,0
12.0,10,0
12.1,10,0
12.2,10,0
12.3,10,0
12.4,10,0
12.5,10,0
12.6,10,0
12.7,10,0
12.8,10,0
12.9,10,0
13.0,10,0
13.1,10,0
13.2,10,0
13.3,10,0
13.4,10,0
13.5,10,0
13.6,11,0
13.7,11,0
13.8,11,0
13.9,11,0
14.0,11,0
14.1,11,0
14.2,11,0
14.3,11,0
14.4,12,0
14.5,12,0
14.6,12,0
14.7,12,0
14.8,12,0
14.9,12,0
15.0,12,0
15.1,12,0
15.2,13,0
15.3,13,0
15.4,13,0
15.5,13,0
15.6,13,0
15.7,13,0
15.8,14,0
15.9,14,0
16.0,14,0
16.1,14,0
16.2,14,0
16.3,14,0
16.4,14,0
16.5,14,0
16.6,14,0
16.7,15,0
16.8,15,0
16.9,15,0
17.0,15,0
17.1,15,0
17.2,15,0
17.3,15,0
17.4,15,0
17.5,15,0
17.6,15,0
17.7,15,0
17.8,15,0
17.9,15,0
18.0,15,0
18.1,15,0
18.2,15,0
18.3,15,0
18.4,15,0
18.5,15,0
18.6,15,0
18.7,16,0
18.8,16,0
18.9,16,0
19.0,16,0
19.1,16,0
19.2,16,0
19.3,16,0
19.4,16,0
19.5,16,0
19.6,16,0
19.7,16,0
19.8,16,0
19.9,17,0
20.0,17,0
20.1,17,0
20.2,17,0
20.3,17,0
20.4,17,0
20.5,17,0
20.6,18,0
20.7,18,0
20.8,18,0
20.9,18,0
21.0,18,0
21.1,19,0
21.2,19,0
21.3,0,21
21.4,0,21
21.5,0,21
21.6,0,21
21.7,0,21
21.8,0,21
21.9,0,21
22.0,0,21
22.1,0,21
22.2,0,21
22.3,2,21
22.4,2,21
22.5,2,21
22.6,2,21
22.7,2,21
22.8,2,21
22.9,2,21
23.0,3,21
23.1,4,21
23.2,4,21
23.3,4,21
23.4,5,21
23.5,5,21
23.6,5,21
23.7,5,21
23.8,5,21
23.9,5,21
24.0,5,21
24.1,5,21
24.2,5,20
24.3,5,20
24.4,5,20
24.5,6,20
24.6,6,20
24.7,6,19
24.8,6,19
24.9,6,19
25.0,6,19
25.1,6,19
25.2,6,19
25.3,6,18
25.4,6,18
25.5,6,18
25.6,7,18
25.7,7,17
25.8,7,17
25.9,7,17
26.0,7,17
26.1,7,17
26.2,7,17
26.3,7,15
26.4,7,15
26.5,7,15
26.6,7,15
26.7,7,15
26.8,7,15
26.9,7,14
27.0,8,14
27.1,8,14
27.2,8,14
27.3,8,14
27.4,8,13
27.5,8,13
27.6,8,13
27.7,8,13
27.8,8,13
27.9,8,13
28.0,8,13
28.1,8,13
28.2,8,13
28.3,8,13
28.4,8,13
28.5,8,13
28.6,8,13
28.7,8,13
28.8,8,12
28.9,8,12
29.0,8,12
29.1,8,12
29.2,8,12
29.3,8,11
29.4,8,11
29.5,8,11
29.6,8,11
29.7,8,11
29.8,8,11
29.9,8,11
30.0,8,11
30.1,8,11
30.2,8,11
30.3,8,11
30.4,8,11
30.5,8,11
30.6,8,11
30.7,8,11
30.8,8,11
30.9,8,11
31.0,8,10
31.1,8,10
31.2,8,9
31.3,9,9
31.4,9,9
31.5,9,9
31.6,9,9
31.7,9,9
31.8,9,9
31.9,9,9
32.0,9,9
32.1,10,9
32.2,11,9
32.3,11,8
32.4,11,8
32.5,11,8
32.6,11,8
32.7,11,8
32.8,11,8
32.9,11,8
33.0,11,8
33.1,11,8
33.2,11,7
33.3,11,7
33.4,11,7
33.5,11,7
33.6,11,7
33.7,11,6
33.8,11,6
33.9,11,6
34.0,11,6
34.1,11,6
34.2,12,6
34.3,12,6
34.4,13,6
34.5,13,6
34.6,13,6
34.7,13,6
34.8,13,6
34.9,14,6
